location,first_rental_day,return_date,gear_name,description,price
Grimentz ,2023-12-15,2023-12-17,Helmet,;Perfect fitting comfort;Perfect protection;Checked for safety;Type according to availability;,CHF 27.90
Les Collons Thyon ,2023-12-15,2023-12-15,Ski Exclusive,;Highest Quality & innovative technology;Direct power transmission;Power for sporting descents;Type according to availability;,CHF 53.10
Les Collons Thyon ,2023-12-15,2023-12-15,Ski Premium,;For sporty bargain hunters;A ton of fun on the slopes;Type according to availability;,CHF 53.10
Les Collons Thyon ,2023-12-15,2023-12-15,Ski Economy,;For the price-conscious;Type according to availability;,CHF 37.80
Les Collons Thyon ,2023-12-15,2023-12-15,Ski Budget,;Type according to availability;,CHF 27.00
Les Collons Thyon ,2023-12-15,2023-12-15,Skiboots premium,;Direct force transmission;High Comfort & perfect Footing;Better Performance;Type according to availability;,CHF 17.10
Les Collons Thyon ,2023-12-15,2023-12-15,Skiboots economy,;Allround ski boot;Comfortable wearing;Excellent driving performance;Type according to availability;,CHF 14.40
Les Collons Thyon ,2023-12-15,2023-12-15,Cancellation option,;With the cancellation option you can cancel your reservation until 12.00 the day before.;You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Les Collons Thyon ,2023-12-15,2023-12-15,Snowboard Budget,;Perfect for beginners;Tolerant for failures;Stable Board;Type according to availability;,CHF 27.90
Les Collons Thyon ,2023-12-15,2023-12-15,Snowboard boots economy,;Easy entry & exit;Safe stand;Best processing;Type according to availability;,CHF 14.40
Les Collons Thyon ,2023-12-15,2023-12-15,Helmet,;Perfect fitting comfort;Perfect protection;Checked for safety;Type according to availability;,CHF 8.10
Les Collons Thyon ,2023-12-15,2023-12-16,Ski Exclusive,;Highest Quality & innovative technology;Direct power transmission;Power for sporting descents;Type according to availability;,CHF 95.40
Les Collons Thyon ,2023-12-15,2023-12-16,Ski Premium,;For sporty bargain hunters;A ton of fun on the slopes;Type according to availability;,CHF 95.40
Les Collons Thyon ,2023-12-15,2023-12-16,Ski Economy,;For the price-conscious;Type according to availability;,CHF 72.00
Les Collons Thyon ,2023-12-15,2023-12-16,Ski Budget,;Type according to availability;,CHF 50.40
Les Collons Thyon ,2023-12-15,2023-12-16,Skiboots premium,;Direct force transmission;High Comfort & perfect Footing;Better Performance;Type according to availability;,CHF 32.40
Les Collons Thyon ,2023-12-15,2023-12-16,Skiboots economy,;Allround ski boot;Comfortable wearing;Excellent driving performance;Type according to availability;,CHF 27.00
Les Collons Thyon ,2023-12-15,2023-12-16,Cancellation option,;With the cancellation option you can cancel your reservation until 12.00 the day before.;You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Les Collons Thyon ,2023-12-15,2023-12-16,Snowboard Budget,;Perfect for beginners;Tolerant for failures;Stable Board;Type according to availability;,CHF 54.00
Les Collons Thyon ,2023-12-15,2023-12-16,Snowboard boots economy,;Easy entry & exit;Safe stand;Best processing;Type according to availability;,CHF 27.00
Les Collons Thyon ,2023-12-15,2023-12-16,Helmet,;Perfect fitting comfort;Perfect protection;Checked for safety;Type according to availability;,CHF 14.40
Les Collons Thyon ,2023-12-15,2023-12-17,Ski Exclusive,;Highest Quality & innovative technology;Direct power transmission;Power for sporting descents;Type according to availability;,CHF 121.50
Les Collons Thyon ,2023-12-15,2023-12-17,Ski Premium,;For sporty bargain hunters;A ton of fun on the slopes;Type according to availability;,CHF 121.50
Les Collons Thyon ,2023-12-15,2023-12-17,Ski Economy,;For the price-conscious;Type according to availability;,CHF 90.00
Les Collons Thyon ,2023-12-15,2023-12-17,Ski Budget,;Type according to availability;,CHF 63.90
Les Collons Thyon ,2023-12-15,2023-12-17,Skiboots premium,;Direct force transmission;High Comfort & perfect Footing;Better Performance;Type according to availability;,CHF 42.30
Les Collons Thyon ,2023-12-15,2023-12-17,Skiboots economy,;Allround ski boot;Comfortable wearing;Excellent driving performance;Type according to availability;,CHF 33.30
Les Collons Thyon ,2023-12-15,2023-12-17,Cancellation option,;With the cancellation option you can cancel your reservation until 12.00 the day before.;You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Les Collons Thyon ,2023-12-15,2023-12-17,Snowboard Budget,;Perfect for beginners;Tolerant for failures;Stable Board;Type according to availability;,CHF 67.50
Les Collons Thyon ,2023-12-15,2023-12-17,Snowboard boots economy,;Easy entry & exit;Safe stand;Best processing;Type according to availability;,CHF 33.30
Les Collons Thyon ,2023-12-15,2023-12-17,Helmet,;Perfect fitting comfort;Perfect protection;Checked for safety;Type according to availability;,CHF 18.00
La Dôle ,2023-12-15,2023-12-15,Ski Superior,;For skiers who want something special;High end skis from this season;Free ski-model exchange;Free daily service;,€32.40
La Dôle ,2023-12-15,2023-12-15,Ski Premium,;For beginners to sporty ones;Novelties of the season;Free ski-model exchange;,€26.10
La Dôle ,2023-12-15,2023-12-15,Ski Economy,;For the price-conscious;Brand skis;,€23.40
La Dôle ,2023-12-15,2023-12-15,Skiboots economy,;Allround ski boot;Comfortable wearing;Excellent driving performance;,€10.80
La Dôle ,2023-12-15,2023-12-15,Alpine touring ski,;With skins and poles;With the best skiservice;For your adventure in the alps;,€32.40
La Dôle ,2023-12-15,2023-12-15,Ski jacket and ski pants,;Best fit & extremely comfortable;Wonderfully warming & super light;Windproof/waterproof & breathable;High-end ski suit for all weather conditions;,€45.00
La Dôle ,2023-12-15,2023-12-15,Alpine touring ski boots,;perfect fitting touring boots;the newest models of the season;different brands;,€10.80
La Dôle ,2023-12-15,2023-12-15,Ski helmet,;Optimal wearing comfort;Perfect protection;Verified material;,€6.30
La Dôle ,2023-12-15,2023-12-15,Snowboard Economy,;Lightweight and stable board;Tolerance for failures;Stable Board;,€23.40
La Dôle ,2023-12-15,2023-12-15,Snowboard boots Premium,;Direct Power Transmission;Safe stand & warm feet;Maximum heel stability;,€10.80
La Dôle ,2023-12-15,2023-12-15,Snowblades,;Extreme sidecut;For turning and reversing;Max. length 90cm;Very narrow radius;,€13.50
La Dôle ,2023-12-15,2023-12-15,Snow shoes incl. poles,;Great natural experience;Easy going on snow;Highest comfort;,€10.80
La Dôle ,2023-12-15,2023-12-15,Skating shoes,;Suitable for skating rinks & natural ice.;For beginners and pro's;Perfect fitting;,€5.40
La Dôle ,2023-12-15,2023-12-16,Ski Superior,;For skiers who want something special;High end skis from this season;Free ski-model exchange;Free daily service;,€59.40
La Dôle ,2023-12-15,2023-12-16,Ski Premium,;For beginners to sporty ones;Novelties of the season;Free ski-model exchange;,€51.30
La Dôle ,2023-12-15,2023-12-16,Ski Economy,;For the price-conscious;Brand skis;,€42.30
La Dôle ,2023-12-15,2023-12-16,Skiboots economy,;Allround ski boot;Comfortable wearing;Excellent driving performance;,€20.70
La Dôle ,2023-12-15,2023-12-16,Alpine touring ski,;With skins and poles;With the best skiservice;For your adventure in the alps;,€59.40
La Dôle ,2023-12-15,2023-12-16,Ski jacket and ski pants,;Best fit & extremely comfortable;Wonderfully warming & super light;Windproof/waterproof & breathable;High-end ski suit for all weather conditions;,€79.00
La Dôle ,2023-12-15,2023-12-16,Alpine touring ski boots,;perfect fitting touring boots;the newest models of the season;different brands;,€20.70
La Dôle ,2023-12-15,2023-12-16,Ski helmet,;Optimal wearing comfort;Perfect protection;Verified material;,€10.80
La Dôle ,2023-12-15,2023-12-16,Snowboard Economy,;Lightweight and stable board;Tolerance for failures;Stable Board;,€42.30
La Dôle ,2023-12-15,2023-12-16,Snowboard boots Premium,;Direct Power Transmission;Safe stand & warm feet;Maximum heel stability;,€20.70
La Dôle ,2023-12-15,2023-12-16,Snow shoes incl. poles,;Great natural experience;Easy going on snow;Highest comfort;,€20.70
La Dôle ,2023-12-15,2023-12-16,Snowblades,;Extreme sidecut;For turning and reversing;Max. length 90cm;Very narrow radius;,€26.10
La Dôle ,2023-12-15,2023-12-16,Skating shoes,;Suitable for skating rinks & natural ice.;For beginners and pro's;Perfect fitting;,€8.10
La Dôle ,2023-12-15,2023-12-17,Ski Superior,;For skiers who want something special;High end skis from this season;Free ski-model exchange;Free daily service;,€83.70
La Dôle ,2023-12-15,2023-12-17,Ski Premium,;For beginners to sporty ones;Novelties of the season;Free ski-model exchange;,€74.70
La Dôle ,2023-12-15,2023-12-17,Ski Economy,;For the price-conscious;Brand skis;,€61.20
La Dôle ,2023-12-15,2023-12-17,Skiboots economy,;Allround ski boot;Comfortable wearing;Excellent driving performance;,€26.10
La Dôle ,2023-12-15,2023-12-17,Alpine touring ski,;With skins and poles;With the best skiservice;For your adventure in the alps;,€83.70
La Dôle ,2023-12-15,2023-12-17,Ski jacket and ski pants,;Best fit & extremely comfortable;Wonderfully warming & super light;Windproof/waterproof & breathable;High-end ski suit for all weather conditions;,€109.00
La Dôle ,2023-12-15,2023-12-17,Alpine touring ski boots,;perfect fitting touring boots;the newest models of the season;different brands;,€26.10
La Dôle ,2023-12-15,2023-12-17,Ski helmet,;Optimal wearing comfort;Perfect protection;Verified material;,€14.40
La Dôle ,2023-12-15,2023-12-17,Snowboard Economy,;Lightweight and stable board;Tolerance for failures;Stable Board;,€61.20
La Dôle ,2023-12-15,2023-12-17,Snowboard boots Premium,;Direct Power Transmission;Safe stand & warm feet;Maximum heel stability;,€26.10
La Dôle ,2023-12-15,2023-12-17,Snowblades,;Extreme sidecut;For turning and reversing;Max. length 90cm;Very narrow radius;,€35.10
La Dôle ,2023-12-15,2023-12-17,Snow shoes incl. poles,;Great natural experience;Easy going on snow;Highest comfort;,€26.10
La Dôle ,2023-12-15,2023-12-17,Skating shoes,;Suitable for skating rinks & natural ice.;For beginners and pro's;Perfect fitting;,€10.80
Mürren ,2023-12-15,2023-12-15,Ski Premium,;For sporty bargain hunters;A ton of fun on the slopes;Type according to availability;,CHF 52.80
Mürren ,2023-12-15,2023-12-15,Ski Economy,;For the price-conscious;Type according to availability;,CHF 39.60
Mürren ,2023-12-15,2023-12-15,Skiboots premium,;Direct force transmission;High Comfort & perfect Footing;Better Performance;Type according to availability;,CHF 26.40
Mürren ,2023-12-15,2023-12-15,Skiboots economy,;Allround ski boot;Comfortable wearing;Excellent driving performance;Type according to availability;,CHF 21.10
Mürren ,2023-12-15,2023-12-15,Cancellation option,;With the cancellation option you can cancel your reservation until 12.00 the day before.;You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Mürren ,2023-12-15,2023-12-15,Snowboard Economy,;Perfect for all levels;Tolerance for failures;Stable Board;Type according to availability;,CHF 39.60
Mürren ,2023-12-15,2023-12-15,Snowboard boots economy,;Easy entry & exit;Safe stand;Best processing;Type according to availability;,CHF 21.10
Mürren ,2023-12-15,2023-12-15,Helmet,;Perfect fitting comfort;Perfect protection;Checked for safety;Type according to availability;,CHF 7.90
Mürren ,2023-12-15,2023-12-16,Ski Premium,;For sporty bargain hunters;A ton of fun on the slopes;Type according to availability;,CHF 91.50
Mürren ,2023-12-15,2023-12-16,Ski Economy,;For the price-conscious;Type according to availability;,CHF 69.50
Mürren ,2023-12-15,2023-12-16,Skiboots premium,;Direct force transmission;High Comfort & perfect Footing;Better Performance;Type according to availability;,CHF 45.75
Mürren ,2023-12-15,2023-12-16,Skiboots economy,;Allround ski boot;Comfortable wearing;Excellent driving performance;Type according to availability;,CHF 36.95
Mürren ,2023-12-15,2023-12-16,Cancellation option,;With the cancellation option you can cancel your reservation until 12.00 the day before.;You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Mürren ,2023-12-15,2023-12-16,Snowboard Economy,;Perfect for all levels;Tolerance for failures;Stable Board;Type according to availability;,CHF 69.50
Mürren ,2023-12-15,2023-12-16,Snowboard boots economy,;Easy entry & exit;Safe stand;Best processing;Type according to availability;,CHF 36.95
Mürren ,2023-12-15,2023-12-16,Helmet,;Perfect fitting comfort;Perfect protection;Checked for safety;Type according to availability;,CHF 14.10
Mürren ,2023-12-15,2023-12-17,Ski Premium,;For sporty bargain hunters;A ton of fun on the slopes;Type according to availability;,CHF 120.55
Mürren ,2023-12-15,2023-12-17,Ski Economy,;For the price-conscious;Type according to availability;,CHF 91.50
Mürren ,2023-12-15,2023-12-17,Skiboots premium,;Direct force transmission;High Comfort & perfect Footing;Better Performance;Type according to availability;,CHF 59.85
Mürren ,2023-12-15,2023-12-17,Skiboots economy,;Allround ski boot;Comfortable wearing;Excellent driving performance;Type according to availability;,CHF 48.40
Mürren ,2023-12-15,2023-12-17,Cancellation option,;With the cancellation option you can cancel your reservation until 12.00 the day before.;You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Mürren ,2023-12-15,2023-12-17,Snowboard Economy,;Perfect for all levels;Tolerance for failures;Stable Board;Type according to availability;,CHF 91.50
Mürren ,2023-12-15,2023-12-17,Snowboard boots economy,;Easy entry & exit;Safe stand;Best processing;Type according to availability;,CHF 48.40
Mürren ,2023-12-15,2023-12-17,Helmet,;Perfect fitting comfort;Perfect protection;Checked for safety;Type according to availability;,CHF 18.50
Laax ,2023-12-15,2023-12-15,Ski set Economy,";Skiset (ski, boots, poles);Comfort with little effort;Run with high fault tolerance;Type according to availability;",CHF 52.20
Laax ,2023-12-15,2023-12-15,Ski Premium,;For sporty bargain hunters;A ton of fun on the slopes;Type according to availability;,CHF 48.60
Laax ,2023-12-15,2023-12-15,Telemark Ski Premium,;Type according to availability;,CHF 48.60
Laax ,2023-12-15,2023-12-15,Ski Economy,;For the price-conscious;Type according to availability;,CHF 35.10
Laax ,2023-12-15,2023-12-15,Skiboots economy,;Allround ski boot;Comfortable wearing;Excellent driving performance;Type according to availability;,CHF 17.10
Laax ,2023-12-15,2023-12-15,Telemark skiboots,;Type according to availability;,CHF 17.10
Laax ,2023-12-15,2023-12-15,Cancellation option,;With the cancellation option you can cancel your reservation until 12.00 the day before.;You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Laax ,2023-12-15,2023-12-15,Snowboard premium,;Top Performance;Supporting swing release;Perfect for powder;Type according to availability;,CHF 48.60
Laax ,2023-12-15,2023-12-15,Snowboard Economy,;Perfect for all levels;Tolerance for failures;Stable Board;Type according to availability;,CHF 35.10
