Aletsch Arena ,2023-12-15,2023-12-16,Alpine touring Premium,Incl. skins and poles__With the best skiservice__For your adventure in the alps;,€50.40
Aletsch Arena ,2023-12-15,2023-12-16,Ski jacket and ski pants,Best fit & extremely comfortable__Wonderfully warming & super light__Windproof/waterproof & breathable__High-end ski suit for all weather conditions;,€79.00
Aletsch Arena ,2023-12-15,2023-12-16,Alpine touring ski boots,perfect fitting touring boots__the newest models of the season__different brands;,€36.00
Aletsch Arena ,2023-12-15,2023-12-16,Ski helmet,Optimal wearing comfort__Perfect protection__Verified material;,€18.00
Aletsch Arena ,2023-12-15,2023-12-16,Snowboard Premium,Top Performance__Supporting swing release__Perfect for powder;,€60.30
Aletsch Arena ,2023-12-15,2023-12-16,Snowboard Economy,Lightweight and stable board__Tolerance for failures__Stable Board;,€53.10
Aletsch Arena ,2023-12-15,2023-12-16,Snowboard boots economy,Easy entry & exit__Safe stand__Best processing;,€28.80
Aletsch Arena ,2023-12-15,2023-12-16,Snow shoes incl. poles,Great natural experience__Easy going on snow__Highest comfort;,€25.20
Aletsch Arena ,2023-12-15,2023-12-17,Ski Superior,For skiers who want something special__High end skis from this season__Free ski-model exchange__Free daily service;,€101.70
Aletsch Arena ,2023-12-15,2023-12-17,Ski Premium,For beginners to sporty ones__Novelties of the season__Free ski-model exchange;,€86.40
Aletsch Arena ,2023-12-15,2023-12-17,Ski Economy,For the price-conscious__Brand skis;,€75.60
Aletsch Arena ,2023-12-15,2023-12-17,Skiboots premium,Direct force transmission__High Comfort & perfect Footing__Better Performance;,€51.30
Aletsch Arena ,2023-12-15,2023-12-17,Skiboots economy,Allround ski boot__Comfortable wearing__Excellent driving performance;,€40.50
Aletsch Arena ,2023-12-15,2023-12-17,Alpine touring Premium,Incl. skins and poles__With the best skiservice__For your adventure in the alps;,€72.90
Aletsch Arena ,2023-12-15,2023-12-17,Ski jacket and ski pants,Best fit & extremely comfortable__Wonderfully warming & super light__Windproof/waterproof & breathable__High-end ski suit for all weather conditions;,€109.00
Aletsch Arena ,2023-12-15,2023-12-17,Alpine touring ski boots,perfect fitting touring boots__the newest models of the season__different brands;,€51.30
Aletsch Arena ,2023-12-15,2023-12-17,Ski helmet,Optimal wearing comfort__Perfect protection__Verified material;,€24.30
Aletsch Arena ,2023-12-15,2023-12-17,Snowboard Premium,Top Performance__Supporting swing release__Perfect for powder;,€86.40
Aletsch Arena ,2023-12-15,2023-12-17,Snowboard Economy,Lightweight and stable board__Tolerance for failures__Stable Board;,€75.60
Aletsch Arena ,2023-12-15,2023-12-17,Snowboard boots economy,Easy entry & exit__Safe stand__Best processing;,€40.50
Aletsch Arena ,2023-12-15,2023-12-17,Snow shoes incl. poles,Great natural experience__Easy going on snow__Highest comfort;,€35.10
Samnaun ,2023-12-15,2023-12-15,Ski Exclusive,Highest Quality & innovative technology__Direct power transmission__Power for sporting descents__Type according to availability;,CHF 54.00
Samnaun ,2023-12-15,2023-12-15,Ski Premium,For sporty bargain hunters__A ton of fun on the slopes__Type according to availability;,CHF 45.00
Samnaun ,2023-12-15,2023-12-15,Ski Economy,For the price-conscious__Type according to availability;,CHF 34.20
