location,location_town,first_rental_day,return_date,gear_name,price,rental_duration,price_per_day,gear_class
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Ski Premium,95.4,2,47.7,ski
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Ski Economy,72.0,2,36.0,ski
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Ski Budget,50.4,2,25.2,ski
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Skiboots premium,32.4,2,16.2,clothes
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Skiboots economy,27.0,2,13.5,clothes
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Snowboard Budget,54.0,2,27.0,snowboard
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Snowboard boots economy,27.0,2,13.5,clothes
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Helmet,14.4,2,7.2,helmet
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Ski Exclusive,121.5,3,40.5,ski
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Ski Premium,121.5,3,40.5,ski
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Ski Economy,90.0,3,30.0,ski
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Ski Budget,63.9,3,21.3,ski
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Skiboots premium,42.3,3,14.1,clothes
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Skiboots economy,33.3,3,11.1,clothes
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Snowboard Budget,67.5,3,22.5,snowboard
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Snowboard boots economy,33.3,3,11.1,clothes
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Helmet,18.0,3,6.0,helmet
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Ski Superior,32.4,1,32.4,ski
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Ski Premium,26.1,1,26.1,ski
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Ski Economy,23.4,1,23.4,ski
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Skiboots economy,10.8,1,10.8,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Alpine touring ski,32.4,1,32.4,ski
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Ski jacket and ski pants,45.0,1,45.0,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Alpine touring ski boots,10.8,1,10.8,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Ski helmet,6.3,1,6.3,helmet
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Snowboard Economy,23.4,1,23.4,snowboard
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Snowboard boots Premium,10.8,1,10.8,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Snowblades,13.5,1,13.5,ski
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Snow shoes incl. poles,10.8,1,10.8,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Skating shoes,5.4,1,5.4,clothes
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Ski Superior,59.4,2,29.7,ski
